,word,allMoviesCount,%used,actionCount,scifiCount,horrorCount,comedyCount,dramaCount,fantasyCount,thrillerCount,actionRelativeUsage,scifiRelativeUsage,horrorRelativeUsage,comedyRelativeUsage,dramaRelativeUsage,fantasyRelativeUsage,thrillerRelativeUsage
93,airplane,346,0.1596677434240886,174.0,81.0,17.0,115.0,104.0,33.0,146.0,1.595467741935484,1.120117912647624,0.34494640122511483,0.9423783783783783,0.8356749116607773,0.46887584465224214,1.2671908396946565
94,family relationships,346,0.1596677434240886,60.0,55.0,40.0,124.0,161.0,79.0,83.0,0.5034686346863468,0.8189726178757257,0.9430604982206405,1.1798158995815902,1.6603809523809525,1.3671266661124502,0.727329479768786
95,brother sister relationship,345,0.159206275957545,84.0,57.0,48.0,129.0,139.0,69.0,88.0,0.7208150943396227,0.8335154970702547,1.1236749116607774,1.2096742268041236,1.3308884210526315,1.1458715596330273,0.7608821292775666
96,doctor,344,0.1587448084910014,103.0,96.0,61.0,89.0,145.0,48.0,123.0,0.8335302491103203,1.3742096216612911,1.3381622516556293,0.7027291666666667,1.2681923076923076,0.70410823761539,1.032110701107011
97,gore,344,0.1587448084910014,156.0,72.0,148.0,37.0,93.0,32.0,164.0,1.2994285714285714,0.9308634222919936,3.53971119133574,0.2530466165413534,0.6945221674876848,0.43227341553104043,1.3863791821561338
98,exploding car,341,0.15736040609137056,264.0,120.0,33.0,66.0,66.0,27.0,214.0,2.2826463878326995,1.4588158110546172,0.5776089828269484,0.4145966850828729,0.4145966850828729,0.32027465952475925,1.6897083333333334
99,ambush,340,0.15689893862482696,263.0,111.0,36.0,52.0,69.0,76.0,157.0,2.387473053892216,1.3845346078117902,0.6552197802197801,0.33215730337078647,0.4515280575539568,0.999789349511291,1.17633607907743
100,arrest,335,0.15459160129210892,161.0,77.0,17.0,94.0,113.0,41.0,143.0,1.5097484536082475,1.1022306340408274,0.3581081081081081,0.7744782608695652,0.9642101313320826,0.6133548928015331,1.2929701789264416
101,subjective camera,332,0.15320719889247808,147.0,92.0,63.0,72.0,106.0,61.0,146.0,1.2380666666666666,1.2594034536891678,1.3377403846153848,0.532448780487805,0.8297555938037866,0.8819396212436911,1.2273715341959335
102,crying,331,0.15274573142593448,50.0,51.0,33.0,107.0,187.0,56.0,87.0,0.436468330134357,0.7988419273034658,0.8127323420074348,1.0487844827586208,2.2147812499999997,0.984156465456592,0.8175123966942148
103,soldier,331,0.15274573142593448,222.0,133.0,33.0,49.0,90.0,85.0,122.0,1.971984375,1.8024830410853707,0.6237517831669044,0.3253313868613138,0.6355900621118012,1.1853799602509991,0.9066274509803921
104,snow,331,0.15274573142593448,133.0,84.0,25.0,80.0,129.0,89.0,110.0,1.1699883945841392,1.208806740962218,0.53,0.6383157894736843,1.1260882917466408,1.4358547107907724,0.9264444444444444
105,paranoia,330,0.15228426395939088,128.0,107.0,77.0,49.0,119.0,32.0,187.0,1.0195166374781084,1.4721636471636472,1.640273311897106,0.3428492307692307,0.9331241379310345,0.43421767377180975,1.6610859375
106,suspense,328,0.15136132902630364,161.0,83.0,79.0,10.0,107.0,19.0,229.0,1.389426944971537,1.1174207610571245,1.7188013136289,0.06707964601769911,0.8375834767641996,0.2570459912046966,2.269045751633987
107,face slap,328,0.15136132902630364,112.0,45.0,34.0,112.0,132.0,57.0,101.0,1.0589937629937631,0.6688457527873586,0.8059033989266546,1.0589937629937631,1.3022472885032537,0.9624837767683322,0.9336341463414632
108,impalement,326,0.15043839409321644,210.0,123.0,108.0,38.0,55.0,75.0,133.0,1.7952631578947371,1.618484262103002,2.257097791798107,0.24548863636363638,0.36410480349344976,1.0176976729026792,0.993241379310345
109,hotel,326,0.15043839409321644,131.0,46.0,15.0,105.0,127.0,15.0,153.0,1.2923817787418654,0.6862134202793544,0.3444540727902946,0.9805749486652978,1.242141935483871,0.23528746891718788,1.5850660592255126
110,suicide,325,0.1499769266266728,119.0,81.0,76.0,46.0,136.0,39.0,167.0,0.9930495412844038,1.1316457127777884,1.7125850340136053,0.33852427184466016,1.1714545454545455,0.5647652173913044,1.528201207243461
111,anti hero,322,0.148592524227042,247.0,115.0,30.0,59.0,65.0,70.0,153.0,2.283243902439024,1.5010918568610876,0.5606488011283498,0.39460588235294114,0.4386053412462908,0.9470115465436191,1.1874470989761092
112,race against time,319,0.14720812182741116,218.0,130.0,31.0,61.0,72.0,65.0,158.0,1.917725338491296,1.750177095631641,0.5834517045454545,0.4116142433234421,0.4939004524886878,0.8780553752974259,1.245379549393414
113,tattoo,319,0.14720812182741116,178.0,80.0,34.0,85.0,85.0,44.0,143.0,1.7187770700636942,1.1451746847177426,0.732520325203252,0.6854255319148936,0.6854255319148936,0.6582345191040844,1.285304347826087
114,singing,319,0.14720812182741116,50.0,33.0,14.0,150.0,157.0,64.0,58.0,0.4777310924369748,0.5452065176203107,0.3623046875,1.8143617021276597,1.9350569105691058,1.2537800363887321,0.5636410256410257
115,montage,318,0.14674665436086756,139.0,86.0,23.0,117.0,123.0,63.0,96.0,1.2444330708661417,1.2486180486180485,0.48838141025641024,1.0039924528301887,1.0675648854961832,0.9763624181060157,0.7923920145190563
116,motorcycle,313,0.14443931702814952,195.0,97.0,27.0,94.0,73.0,36.0,152.0,1.851482254697286,1.3692726684061172,0.5529366306027821,0.7370896551724138,0.5524193011647255,0.5106991958566172,1.3243218390804599
117,watching tv,312,0.14397784956160592,82.0,52.0,38.0,113.0,147.0,39.0,115.0,0.739952380952381,0.7931514178705189,0.918795620437956,1.086520084566596,1.5229066059225513,0.6452984659407043,1.1104458598726112
118,product placement,312,0.14397784956160592,173.0,109.0,29.0,116.0,64.0,43.0,134.0,1.5895030303030304,1.5882128604847747,0.6013302034428795,0.9557391304347826,0.4819072847682119,0.6226898550724638,1.1412584269662922
119,interrogation,307,0.14167051222888785,196.0,91.0,25.0,61.0,95.0,39.0,170.0,1.853239085239085,1.2648464163822526,0.5080521472392637,0.4503701298701298,0.7423711340206186,0.5532574621780019,1.5249704142011835
120,revolver,307,0.14167051222888785,176.0,75.0,42.0,63.0,83.0,36.0,169.0,1.7103589743589744,1.0736012669228836,0.9244186046511627,0.4931566265060241,0.6728770053475936,0.5358981693363845,1.6181305263157895
121,train,304,0.14028610982925704,133.0,65.0,23.0,70.0,115.0,43.0,138.0,1.3323436123348018,1.0142309797482212,0.5403368794326241,0.6157833655705997,1.108093220338983,0.7154065430520034,1.3978262806236081
122,friend,302,0.1393631748961698,46.0,36.0,22.0,144.0,144.0,56.0,56.0,0.45678602620087333,0.6265426880811495,0.6047717842323651,1.8192,1.8192,1.1313405797101448,0.5685
